date_time,is_holiday,air_pollution_index,wind_speed,visibility_in_miles,temperature,rain_p_h,snow_p_h,clouds_all,weather_type,traffic_volume,air_pollution_index_lag,wind_speed_lag,visibility_in_miles_lag,temperature_lag,rain_p_h_lag,snow_p_h_lag,clouds_all_lag,weather_type_lag,traffice_volume_lag
2012-10-02 09:00:00,0,2,2,1,288.28,0.0,0.0,40,0,5545,,,,,,,,,
2012-10-02 10:00:00,0,2,3,1,289.36,0.0,0.0,75,0,4516,2.0,2.0,1.0,288.28,0.0,0.0,40.0,0.0,5545.0
2012-10-02 11:00:00,0,2,3,2,289.58,0.0,0.0,90,0,4767,2.0,3.0,1.0,289.36,0.0,0.0,75.0,0.0,4516.0
2012-10-02 12:00:00,0,0,3,5,290.13,0.0,0.0,90,0,5026,2.0,3.0,2.0,289.58,0.0,0.0,90.0,0.0,4767.0
2012-10-02 13:00:00,0,3,3,7,291.14,0.0,0.0,75,0,4918,0.0,3.0,5.0,290.13,0.0,0.0,90.0,0.0,5026.0
2012-10-02 14:00:00,0,0,3,6,291.72,0.0,0.0,1,1,5181,3.0,3.0,7.0,291.14,0.0,0.0,75.0,0.0,4918.0
2012-10-02 15:00:00,0,2,3,7,293.17,0.0,0.0,1,1,5584,0.0,3.0,6.0,291.72,0.0,0.0,1.0,1.0,5181.0
2012-10-02 16:00:00,0,2,3,7,293.86,0.0,0.0,1,1,6015,2.0,3.0,7.0,293.17,0.0,0.0,1.0,1.0,5584.0
2012-10-02 17:00:00,0,2,3,6,294.14,0.0,0.0,20,0,5791,2.0,3.0,7.0,293.86,0.0,0.0,1.0,1.0,6015.0
2012-10-02 18:00:00,0,2,3,3,293.1,0.0,0.0,20,0,4770,2.0,3.0,6.0,294.14,0.0,0.0,20.0,0.0,5791.0
2012-10-02 19:00:00,0,3,3,8,290.97,0.0,0.0,20,0,3539,2.0,3.0,3.0,293.1,0.0,0.0,20.0,0.0,4770.0
2012-10-02 20:00:00,0,2,3,5,289.38,0.0,0.0,1,1,2784,3.0,3.0,8.0,290.97,0.0,0.0,20.0,0.0,3539.0
