date_time,is_holiday,air_pollution_index,humidity,wind_speed,wind_direction,visibility_in_miles,dew_point,temperature,rain_p_h,snow_p_h,clouds_all,weather_type,traffic_volume
2012-10-02 09:00:00,0,121,89,2,329,1,1,288.28,0.0,0.0,40,0,5545
2012-10-02 10:00:00,0,178,67,3,330,1,1,289.36,0.0,0.0,75,0,4516
2012-10-02 11:00:00,0,113,66,3,329,2,2,289.58,0.0,0.0,90,0,4767
2012-10-02 12:00:00,0,20,66,3,329,5,5,290.13,0.0,0.0,90,0,5026
2012-10-02 13:00:00,0,281,65,3,329,7,7,291.14,0.0,0.0,75,0,4918
2012-10-02 14:00:00,0,23,65,3,328,6,6,291.72,0.0,0.0,1,1,5181
2012-10-02 15:00:00,0,184,64,3,328,7,7,293.17,0.0,0.0,1,1,5584
2012-10-02 16:00:00,0,167,64,3,327,7,7,293.86,0.0,0.0,1,1,6015
2012-10-02 17:00:00,0,119,63,3,327,6,6,294.14,0.0,0.0,20,0,5791
2012-10-02 18:00:00,0,161,63,3,326,3,3,293.1,0.0,0.0,20,0,4770
2012-10-02 19:00:00,0,243,62,3,326,8,8,290.97,0.0,0.0,20,0,3539
2012-10-02 20:00:00,0,150,62,3,326,5,5,289.38,0.0,0.0,1,1,2784
2012-10-02 21:00:00,0,128,61,4,325,4,4,288.61,0.0,0.0,1,1,2361
2012-10-02 22:00:00,0,18,61,4,325,7,7,287.16,0.0,0.0,1,1,1529
2012-10-02 23:00:00,0,186,60,4,324,5,5,285.45,0.0,0.0,1,1,963
2012-10-03 00:00:00,0,58,60,4,324,2,2,284.63,0.0,0.0,1,1,506
2012-10-03 01:00:00,0,158,59,4,324,6,6,283.47,0.0,0.0,1,1,321
2012-10-03 02:00:00,0,166,59,4,323,1,1,281.18,0.0,0.0,1,1,273
2012-10-03 03:00:00,0,101,58,4,323,7,7,281.09,0.0,0.0,1,1,367
2012-10-03 04:00:00,0,161,58,4,322,4,4,279.53,0.0,0.0,1,1,814
2012-10-03 05:00:00,0,179,57,4,322,3,3,278.62,0.0,0.0,1,1,2718
2012-10-03 06:00:00,0,93,57,4,322,4,4,278.23,0.0,0.0,1,1,5673
2012-10-03 08:00:00,0,57,56,4,321,4,4,278.12,0.0,0.0,1,1,6511
2012-10-03 09:00:00,0,226,56,4,321,4,4,282.48,0.0,0.0,1,1,5471
2012-10-03 12:00:00,0,86,55,4,320,3,3,291.97,0.0,0.0,1,1,5097
2012-10-03 13:00:00,0,52,55,4,320,1,1,293.23,0.0,0.0,1,1,4887
2012-10-03 14:00:00,0,273,55,4,320,4,4,294.31,0.0,0.0,1,1,5337
2012-10-03 15:00:00,0,72,55,5,350,3,3,295.17,0.0,0.0,1,1,5692
2012-10-03 16:00:00,0,254,55,4,320,1,1,295.13,0.0,0.0,1,1,6137
2012-10-03 18:00:00,0,129,55,5,330,4,4,293.66,0.0,0.0,20,0,4623
2012-10-03 19:00:00,0,271,48,7,330,1,1,290.65,0.0,0.0,20,0,3591
2012-10-03 20:00:00,0,259,42,6,320,1,1,288.19,0.0,0.0,20,0,2898
2012-10-03 21:00:00,0,61,33,5,340,8,8,287.1,0.0,0.0,1,1,2637
2012-10-03 22:00:00,0,286,30,5,340,4,4,286.25,0.0,0.0,1,1,1777
2012-10-03 23:00:00,0,151,33,3,340,9,9,285.26,0.0,0.0,1,1,1015
2012-10-04 00:00:00,0,260,32,5,350,8,8,284.55,0.0,0.0,1,1,598
2012-10-04 01:00:00,0,234,37,5,350,5,5,283.47,0.0,0.0,1,1,369
2012-10-04 02:00:00,0,162,36,4,330,5,5,283.17,0.0,0.0,1,1,312
2012-10-04 03:00:00,0,65,39,6,340,1,1,282.04,0.0,0.0,1,1,367
2012-10-04 04:00:00,0,18,41,5,340,1,1,281.69,0.0,0.0,1,1,835
2012-10-04 05:00:00,0,250,44,5,350,4,4,281.32,0.0,0.0,1,1,2726
2012-10-04 06:00:00,0,173,44,4,340,4,4,280.74,0.0,0.0,1,1,5689
2012-10-04 07:00:00,0,142,47,4,350,2,2,280.57,0.0,0.0,1,1,6990
2012-10-04 08:00:00,0,90,50,4,360,5,5,281.86,0.0,0.0,1,1,5985
2012-10-04 09:00:00,0,144,75,0,0,6,6,284.98,0.0,0.0,1,1,5309
2012-10-04 10:00:00,0,143,57,0,0,8,8,289.18,0.0,0.0,1,1,4603
2012-10-04 11:00:00,0,61,70,1,320,1,1,291.55,0.0,0.0,1,1,4884
2012-10-04 12:00:00,0,211,93,0,0,4,4,294.97,0.0,0.0,1,1,5104
2012-10-04 13:00:00,0,207,84,0,0,6,6,296.38,0.0,0.0,1,1,5178
2012-10-04 14:00:00,0,115,75,0,0,7,7,297.32,0.0,0.0,1,1,5501
2012-10-04 15:00:00,0,253,57,0,0,2,2,298.17,0.0,0.0,1,1,5713
2012-10-04 16:00:00,0,242,53,1,63,5,5,298.06,0.0,0.0,20,0,6292
2012-10-04 17:00:00,0,23,49,2,126,5,5,297.67,0.0,0.0,20,0,6057
2012-10-04 18:00:00,0,234,45,3,190,5,5,296.36,0.0,0.0,40,0,4907
2012-10-04 19:00:00,0,220,37,3,170,6,6,293.85,0.0,0.0,40,0,3503
2012-10-04 20:00:00,0,210,28,3,190,5,5,292.43,0.0,0.0,40,0,3037
2012-10-04 21:00:00,0,174,30,2,0,7,7,291.77,0.0,0.0,75,0,2822
2012-10-04 22:00:00,0,58,26,4,140,4,4,291.36,0.0,0.0,75,0,1992
2012-10-04 23:00:00,0,142,26,3,170,1,1,291.12,0.0,0.0,75,0,1166
2012-10-05 00:00:00,0,79,26,3,200,6,6,290.63,0.0,0.0,75,0,627
2012-10-05 01:00:00,0,128,30,3,180,9,9,290.46,0.0,0.0,40,0,388
2012-10-05 03:00:00,0,148,34,2,150,4,4,289.26,0.0,0.0,0,1,368
2012-10-05 05:00:00,0,252,41,2,140,7,7,283.21,0.0,0.0,75,0,2489
2012-10-05 06:00:00,0,190,47,3,140,3,3,282.24,0.0,0.0,90,0,5537
2012-10-05 07:00:00,0,192,47,2,160,9,9,281.69,0.0,0.0,90,0,6628
2012-10-05 08:00:00,0,59,47,2,160,9,9,280.57,0.0,0.0,90,0,5534
2012-10-05 09:00:00,0,190,54,2,130,6,6,280.02,0.0,0.0,75,0,5403
2012-10-05 10:00:00,0,134,71,0,0,5,5,280.11,0.0,0.0,75,0,4770
2012-10-05 11:00:00,0,240,58,2,110,8,8,280.0,0.0,0.0,90,0,5217
2012-10-05 12:00:00,0,12,76,2,150,9,9,280.53,0.0,0.0,90,0,5870
2012-10-05 13:00:00,0,182,71,3,110,5,5,281.43,0.0,0.0,75,0,5967
2012-10-05 14:00:00,0,90,71,1,110,5,5,281.78,0.0,0.0,90,0,6108
2012-10-05 15:00:00,0,284,76,2,110,3,3,281.91,0.0,0.0,90,0,6128
2012-10-05 16:00:00,0,228,76,2,120,2,2,281.73,0.0,0.0,90,0,6069
2012-10-05 17:00:00,0,149,71,1,110,9,9,281.42,0.0,0.0,90,0,6169
2012-10-05 18:00:00,0,72,54,0,0,8,8,280.87,0.0,0.0,90,0,5384
2012-10-05 19:00:00,0,36,45,2,160,2,2,280.15,0.0,0.0,90,0,4063
2012-10-05 20:00:00,0,205,35,2,0,6,6,279.78,0.0,0.0,90,0,3364
2012-10-05 21:00:00,0,161,27,4,160,9,9,279.65,0.0,0.0,75,0,2971
2012-10-05 22:00:00,0,261,25,4,180,4,4,279.22,0.0,0.0,40,0,2450
2012-10-05 23:00:00,0,257,25,4,160,4,4,279.06,0.0,0.0,40,0,1832
2012-10-06 00:00:00,0,163,23,5,150,6,6,278.81,0.0,0.0,90,0,1231
2012-10-06 01:00:00,0,219,23,5,160,4,4,278.55,0.0,0.0,90,0,718
2012-10-06 02:00:00,0,31,25,4,150,7,7,278.59,0.0,0.0,90,0,545
2012-10-06 04:00:00,0,79,32,2,140,9,9,276.99,0.0,0.0,75,0,411
2012-10-06 05:00:00,0,28,30,3,130,7,7,276.35,0.0,0.0,20,0,688
2012-10-06 06:00:00,0,110,37,3,130,1,1,275.4,0.0,0.0,1,1,1352
2012-10-06 07:00:00,0,171,42,3,140,9,9,275.17,0.0,0.0,1,1,2072
2012-10-06 08:00:00,0,148,45,5,140,3,3,274.99,0.0,0.0,1,1,3342
2012-10-06 09:00:00,0,97,45,5,140,2,2,275.09,0.0,0.0,40,0,4258
2012-10-06 10:00:00,0,46,48,5,140,2,2,276.88,0.0,0.0,20,0,4861
2012-10-06 11:00:00,0,180,24,2,194,7,7,278.04,0.0,0.0,20,0,5191
2012-10-06 12:00:00,0,269,24,0,248,6,6,279.08,0.0,0.0,40,0,5669
2012-10-06 13:00:00,0,280,31,4,239,6,6,280.12,0.0,0.0,75,0,5074
2012-10-06 14:00:00,0,264,62,9,230,7,7,280.25,0.0,0.0,75,0,5025
2012-10-06 15:00:00,0,149,70,5,240,5,5,280.0,0.0,0.0,75,0,5153
2012-10-06 16:00:00,0,77,70,9,240,5,5,279.06,0.0,0.0,90,0,5024
2012-10-06 17:00:00,0,77,70,8,250,1,1,278.91,0.0,0.0,90,0,4779
2012-10-06 18:00:00,0,178,70,7,250,1,1,278.39,0.0,0.0,90,0,4362
2012-10-06 19:00:00,0,114,61,9,250,8,8,278.16,0.0,0.0,90,0,3860
2012-10-06 20:00:00,0,67,65,9,260,2,2,278.16,0.0,0.0,90,0,3160
2012-10-06 21:00:00,0,196,70,8,250,1,1,277.93,0.0,0.0,90,0,2992
2012-10-06 22:00:00,0,65,70,10,270,5,5,276.9,0.0,0.0,90,0,3202
2012-10-06 23:00:00,0,13,70,12,260,5,5,276.34,0.0,0.0,75,0,1941
