is_holiday,air_pollution_index,humidity,wind_speed,wind_direction,visibility_in_miles,dew_point,temperature,snow_p_h,clouds_all,traffic_volume,is_holiday_lag,humidity_lag,wind_direction_lag,dew_point_lag,air_pollution_index_lag,wind_speed_lag,visibility_in_miles_lag,temperature_lag,snow_p_h_lag,clouds_all_lag,traffic_volume_lag
0,2,89,2,329,1,1,288.28,0.0,40,5545,0.0,70.99184972715825,199.5211977053309,4.985623338463691,1.8904435427452078,3.393486777668952,4.985623338463691,280.21000804533656,0.0001665034280117531,45.4561004617322,3266.9462012033023
0,2,67,3,330,1,1,289.36,0.0,75,4516,0.0,89.0,329.0,1.0,2.0,2.0,1.0,288.28,0.0,40.0,5545.0
0,2,66,3,329,2,2,289.58,0.0,90,4767,0.0,67.0,330.0,1.0,2.0,3.0,1.0,289.36,0.0,75.0,4516.0
0,0,66,3,329,5,5,290.13,0.0,90,5026,0.0,66.0,329.0,2.0,2.0,3.0,2.0,289.58,0.0,90.0,4767.0
0,3,65,3,329,7,7,291.14,0.0,75,4918,0.0,66.0,329.0,5.0,0.0,3.0,5.0,290.13,0.0,90.0,5026.0
0,0,65,3,328,6,6,291.72,0.0,1,5181,0.0,65.0,329.0,7.0,3.0,3.0,7.0,291.14,0.0,75.0,4918.0
0,2,64,3,328,7,7,293.17,0.0,1,5584,0.0,65.0,328.0,6.0,0.0,3.0,6.0,291.72,0.0,1.0,5181.0
0,2,64,3,327,7,7,293.86,0.0,1,6015,0.0,64.0,328.0,7.0,2.0,3.0,7.0,293.17,0.0,1.0,5584.0
0,2,63,3,327,6,6,294.14,0.0,20,5791,0.0,64.0,327.0,7.0,2.0,3.0,7.0,293.86,0.0,1.0,6015.0
0,2,63,3,326,3,3,293.1,0.0,20,4770,0.0,63.0,327.0,6.0,2.0,3.0,6.0,294.14,0.0,20.0,5791.0
0,3,62,3,326,8,8,290.97,0.0,20,3539,0.0,63.0,326.0,3.0,2.0,3.0,3.0,293.1,0.0,20.0,4770.0
0,2,62,3,326,5,5,289.38,0.0,1,2784,0.0,62.0,326.0,8.0,3.0,3.0,8.0,290.97,0.0,20.0,3539.0
0,2,61,4,325,4,4,288.61,0.0,1,2361,0.0,62.0,326.0,5.0,2.0,3.0,5.0,289.38,0.0,1.0,2784.0
0,0,61,4,325,7,7,287.16,0.0,1,1529,0.0,61.0,325.0,4.0,2.0,4.0,4.0,288.61,0.0,1.0,2361.0
0,2,60,4,324,5,5,285.45,0.0,1,963,0.0,61.0,325.0,7.0,0.0,4.0,7.0,287.16,0.0,1.0,1529.0
0,1,60,4,324,2,2,284.63,0.0,1,506,0.0,60.0,324.0,5.0,2.0,4.0,5.0,285.45,0.0,1.0,963.0
0,2,59,4,324,6,6,283.47,0.0,1,321,0.0,60.0,324.0,2.0,1.0,4.0,2.0,284.63,0.0,1.0,506.0
0,2,59,4,323,1,1,281.18,0.0,1,273,0.0,59.0,324.0,6.0,2.0,4.0,6.0,283.47,0.0,1.0,321.0
0,2,58,4,323,7,7,281.09,0.0,1,367,0.0,59.0,323.0,1.0,2.0,4.0,1.0,281.18,0.0,1.0,273.0
0,2,58,4,322,4,4,279.53,0.0,1,814,0.0,58.0,323.0,7.0,2.0,4.0,7.0,281.09,0.0,1.0,367.0
0,2,57,4,322,3,3,278.62,0.0,1,2718,0.0,58.0,322.0,4.0,2.0,4.0,4.0,279.53,0.0,1.0,814.0
0,1,57,4,322,4,4,278.23,0.0,1,5673,0.0,57.0,322.0,3.0,2.0,4.0,3.0,278.62,0.0,1.0,2718.0
0,1,56,4,321,4,4,278.12,0.0,1,6511,0.0,57.0,322.0,4.0,1.0,4.0,4.0,278.23,0.0,1.0,5673.0
0,3,56,4,321,4,4,282.48,0.0,1,5471,0.0,56.0,321.0,4.0,1.0,4.0,4.0,278.12,0.0,1.0,6511.0
0,1,55,4,320,3,3,291.97,0.0,1,5097,0.0,56.0,321.0,4.0,3.0,4.0,4.0,282.48,0.0,1.0,5471.0
0,1,55,4,320,1,1,293.23,0.0,1,4887,0.0,55.0,320.0,3.0,1.0,4.0,3.0,291.97,0.0,1.0,5097.0
0,3,55,4,320,4,4,294.31,0.0,1,5337,0.0,55.0,320.0,1.0,1.0,4.0,1.0,293.23,0.0,1.0,4887.0
0,1,55,5,350,3,3,295.17,0.0,1,5692,0.0,55.0,320.0,4.0,3.0,4.0,4.0,294.31,0.0,1.0,5337.0
0,3,55,4,320,1,1,295.13,0.0,1,6137,0.0,55.0,350.0,3.0,1.0,5.0,3.0,295.17,0.0,1.0,5692.0
0,2,55,5,330,4,4,293.66,0.0,20,4623,0.0,55.0,320.0,1.0,3.0,4.0,1.0,295.13,0.0,1.0,6137.0
0,3,48,7,330,1,1,290.65,0.0,20,3591,0.0,55.0,330.0,4.0,2.0,5.0,4.0,293.66,0.0,20.0,4623.0
0,3,42,6,320,1,1,288.19,0.0,20,2898,0.0,48.0,330.0,1.0,3.0,7.0,1.0,290.65,0.0,20.0,3591.0
0,1,33,5,340,8,8,287.1,0.0,1,2637,0.0,42.0,320.0,1.0,3.0,6.0,1.0,288.19,0.0,20.0,2898.0
0,3,30,5,340,4,4,286.25,0.0,1,1777,0.0,33.0,340.0,8.0,1.0,5.0,8.0,287.1,0.0,1.0,2637.0
0,2,33,3,340,9,9,285.26,0.0,1,1015,0.0,30.0,340.0,4.0,3.0,5.0,4.0,286.25,0.0,1.0,1777.0
0,3,32,5,350,8,8,284.55,0.0,1,598,0.0,33.0,340.0,9.0,2.0,3.0,9.0,285.26,0.0,1.0,1015.0
0,3,37,5,350,5,5,283.47,0.0,1,369,0.0,32.0,350.0,8.0,3.0,5.0,8.0,284.55,0.0,1.0,598.0
0,2,36,4,330,5,5,283.17,0.0,1,312,0.0,37.0,350.0,5.0,3.0,5.0,5.0,283.47,0.0,1.0,369.0
0,1,39,6,340,1,1,282.04,0.0,1,367,0.0,36.0,330.0,5.0,2.0,4.0,5.0,283.17,0.0,1.0,312.0
0,0,41,5,340,1,1,281.69,0.0,1,835,0.0,39.0,340.0,1.0,1.0,6.0,1.0,282.04,0.0,1.0,367.0
0,3,44,5,350,4,4,281.32,0.0,1,2726,0.0,41.0,340.0,1.0,0.0,5.0,1.0,281.69,0.0,1.0,835.0
0,2,44,4,340,4,4,280.74,0.0,1,5689,0.0,44.0,350.0,4.0,3.0,5.0,4.0,281.32,0.0,1.0,2726.0
0,2,47,4,350,2,2,280.57,0.0,1,6990,0.0,44.0,340.0,4.0,2.0,4.0,4.0,280.74,0.0,1.0,5689.0
0,1,50,4,360,5,5,281.86,0.0,1,5985,0.0,47.0,350.0,2.0,2.0,4.0,2.0,280.57,0.0,1.0,6990.0
0,2,75,0,0,6,6,284.98,0.0,1,5309,0.0,50.0,360.0,5.0,1.0,4.0,5.0,281.86,0.0,1.0,5985.0
0,2,57,0,0,8,8,289.18,0.0,1,4603,0.0,75.0,0.0,6.0,2.0,0.0,6.0,284.98,0.0,1.0,5309.0
0,1,70,1,320,1,1,291.55,0.0,1,4884,0.0,57.0,0.0,8.0,2.0,0.0,8.0,289.18,0.0,1.0,4603.0
0,3,93,0,0,4,4,294.97,0.0,1,5104,0.0,70.0,320.0,1.0,1.0,1.0,1.0,291.55,0.0,1.0,4884.0
0,3,84,0,0,6,6,296.38,0.0,1,5178,0.0,93.0,0.0,4.0,3.0,0.0,4.0,294.97,0.0,1.0,5104.0
